number,address,balance,perct_coins,first_in,last_in,ins,first_out,last_out,outs
129,3QB2qhnj5Xxwhh3GKcfwQDSkL91BCCn5cp,"8,801 BTC ($431,660,174)",0.05%,2020-10-09 23:08:16,2021-10-21 17:01:26,18,2021-07-27 17:05:37,2021-07-27 17:05:37,1
130,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,"8,779 BTC ($430,562,629)",0.05%,2018-12-04 22:58:43,2021-07-25 5:45:12,77,,,
131,39e7mxbeNmRRnjfy1qkphv1TiMcztZ8VuE,"8,737 BTC ($428,501,125)",0.05%,2020-09-30 12:52:34,2021-10-19 14:56:22,20,2021-07-27 17:05:37,2021-07-27 17:05:37,1
132,bc1qhszrd0ef5we6mg3r7xgl05g8rx06xll8yrwmjh,"8,611 BTC ($422,324,059)",0.05%,2020-12-28 20:43:53,2021-07-06 15:13:11,9,,,
133,1CsShhaM1XijNaoVrzEGhrGkjdS8vXCdtD,"8,600 BTC ($421,804,325)",0.05%,2021-11-19 2:35:51,2021-11-19 3:01:47,3,,,
134,19rxQRpXBMQcbsYcxo6w9xL54o1sXDeXdA,"8,539 BTC ($418,814,727)",0.05%,2017-08-27 23:33:39,2021-06-25 4:29:38,30,,,
135,3B71nauHJDWCRoKfqX52iMt3cN8qXP9v4a,"8,500 BTC ($416,877,593)",0.04%,2021-10-19 2:48:17,2021-10-20 2:11:46,2,,,
136,"bc1q4ph3834lsfcx87k3hh3jmzkrfygthtswtpcjnst4dnjqfjvrsjfqznurmz
wallet: 74771965","8,390 BTC ($411,481,973)",0.04%,2021-01-11 15:35:40,2021-12-04 7:35:13,41,2021-03-11 0:00:38,2021-10-09 11:35:06,36
137,15HEcdBfaDD9tUxfPxgiPbTJi6ooQb11B2,"8,346 BTC ($409,335,829) / +8346 BTC",0.04%,2021-12-05 17:53:04,2021-12-07 21:22:17,9,,,
138,1Le1X8LJb4VkFsfktiUY7V7wMRhniu5Xgn,"8,176 BTC ($400,993,323)",0.04%,2018-12-05 20:19:25,2021-07-27 12:21:02,60,,,
139,1Fjom9b9wvp3HPi2ZS9hqXQwJpXcjumSYJ,"8,175 BTC ($400,955,089)",0.04%,2018-12-05 15:38:08,2021-07-27 12:12:23,64,,,
140,16BiUbH8yxFmCJs4ArtyTgHKfXQFvkvPNr,"8,175 BTC ($400,955,089)",0.04%,2018-12-05 3:42:05,2021-07-27 12:08:43,61,,,
141,1KLay1g7rZxAiotuDhGy5YizdXSpqkFxQ9,"8,175 BTC ($400,955,089)",0.04%,2018-12-04 23:49:42,2021-07-27 12:08:43,61,,,
142,12yePmcVhMzzHYwh4BpVF3Cm1bYL9mqyKc,"8,175 BTC ($400,955,089)",0.04%,2018-12-04 23:45:53,2021-07-27 12:08:43,60,,,
143,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,"8,175 BTC ($400,955,089)",0.04%,2018-12-04 23:05:14,2021-07-27 12:08:43,60,,,
144,17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,"8,175 BTC ($400,955,089)",0.04%,2018-12-04 23:05:14,2021-07-27 12:08:43,60,,,
145,16dyizLarM2N4UjGaEFPESNmJC5vEALtZX,"8,175 BTC ($400,955,089)",0.04%,2018-12-05 3:42:05,2021-07-27 12:08:43,60,,,
146,1BbSZNNhoBUCFGMfnscBDXf7PH1takoMga,"8,175 BTC ($400,955,089)",0.04%,2018-12-05 3:23:17,2021-07-27 12:08:43,59,,,
147,1gvH7pGPrEBNjqmwYS8UDhjFQkyqkKCLE,"8,175 BTC ($400,955,089)",0.04%,2018-12-04 23:49:42,2021-07-27 12:08:43,62,,,
148,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,"8,175 BTC ($400,955,089)",0.04%,2018-12-04 23:05:14,2021-07-27 12:08:43,61,,,
149,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,"8,175 BTC ($400,955,089)",0.04%,2018-12-04 23:05:14,2021-07-27 12:08:43,60,,,
150,1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,"8,175 BTC ($400,955,089)",0.04%,2018-12-04 23:05:14,2021-07-27 12:08:43,62,,,
151,1Gtpfqoo8stQw2E4vCbZZbJBBZvYzzCeRy,"8,175 BTC ($400,955,089)",0.04%,2018-12-05 3:42:05,2021-07-27 12:12:23,65,,,
152,15URsTiy1ksoMMV7DuEi9hvSqHgqobAtKa,"8,175 BTC ($400,955,089)",0.04%,2018-12-05 2:54:46,2021-07-27 12:08:43,63,,,
153,1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N,"8,175 BTC ($400,955,089)",0.04%,2018-12-04 23:49:42,2021-07-27 12:08:43,59,,,
154,15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,"8,175 BTC ($400,955,089)",0.04%,2018-12-04 23:05:14,2021-07-27 12:08:43,61,,,
155,12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,"8,175 BTC ($400,955,089)",0.04%,2018-12-04 23:05:14,2021-07-27 12:08:43,60,,,
156,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,"8,175 BTC ($400,955,089)",0.04%,2018-12-04 23:05:14,2021-07-27 12:08:43,60,,,
157,1Eqj1APg1dkcPH7CmHJ6SzRwtJRLpxtBFA,"8,173 BTC ($400,816,200)",0.04%,2018-12-05 20:19:25,2021-07-27 13:11:24,63,,,
158,1QHVStz4ALAF8LFokjLy9QFaZKUFdraxeo,"8,150 BTC ($399,712,038)",0.04%,2018-12-18 12:05:30,2021-06-28 13:01:26,18,,,
159,19F4xZNBxtPAdMqFudr2LDH5efeeUYF21x,"8,137 BTC ($399,064,170)",0.04%,2018-12-05 20:19:25,2021-07-27 12:21:02,61,,,
160,157ZXCYfK6NqBiFLkoLDt3PN8KyE8xdTu5,"8,116 BTC ($398,044,791)",0.04%,2018-12-05 20:13:56,2021-07-27 13:33:41,59,,,
161,37wMyeamkWsXtwGksgvD4fWeJahK21m9Gg,"8,100 BTC ($397,258,306)",0.04%,2021-10-19 2:48:17,2021-12-06 12:33:04,3,,,
162,338363ecwAVWzt7zVuGaUVoWtWycGsJTUf,"8,081 BTC ($396,306,693) / +8081 BTC",0.04%,2021-12-09 16:53:09,2021-12-09 16:53:09,1,,,
163,3LE4RL65dzrME4gsNzogkSj4CSYj859G3E,"8,064 BTC ($395,489,306)",0.04%,2021-07-27 17:05:37,2021-07-27 17:05:37,1,,,
164,3Jz9R3Eevdx2nrSidWt6ZB3fntznCcZ5TN 2-of-5,"8,051 BTC ($394,842,766)",0.04%,2018-09-25 20:21:09,2021-12-22 15:40:05,36,2020-08-25 19:11:47,2021-12-22 15:40:05,35
165,18zuLTKQnLjp987LdxuYvjekYnNAvXif2b,"8,021 BTC ($393,370,691)",0.04%,2013-04-25 2:16:44,2021-06-28 13:01:26,31,,,
166,3Dbycn9xjr4G7S6QEuX7ZJP7rxiKLgBjhc,"8,003 BTC ($392,497,596)",0.04%,2021-07-27 17:05:37,2021-07-27 17:05:37,1,,,
167,3PWn1AGqo8HWH8mXSsxx1Ytk87zMAAziFU,"8,000 BTC ($392,356,824)",0.04%,2019-02-16 16:38:50,2021-07-06 15:13:11,13,,,
168,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,"8,000 BTC ($392,355,545)",0.04%,2009-02-22 11:50:53,2021-10-24 0:50:10,62,,,
169,18f6y4uWnLd7VPzfR2c1dMboihghXYHRH3,"8,000 BTC ($392,355,482)",0.04%,2020-05-08 21:01:11,2021-07-06 15:13:11,61,,,
170,1Lan1sQzYGViDZskUFmnitJvfejn2jYdNS,"8,000 BTC ($392,355,401)",0.04%,2018-12-06 3:33:33,2021-07-06 15:13:11,56,,,
171,17RmGC3i2dASQai3mP9iJLX3ZD9TBm2YQV,"8,000 BTC ($392,355,390)",0.04%,2018-12-05 23:43:17,2021-07-06 15:13:11,57,,,
172,15mxk4fKk9ggQ4fikNWKpasahsdXZNdVu2,"8,000 BTC ($392,355,389)",0.04%,2018-12-05 20:48:58,2021-07-06 15:13:11,56,,,
173,1HGdi2AtuvBUcdTFe62sKd7ZAFzoG7iQLb,"8,000 BTC ($392,355,387)",0.04%,2018-12-06 3:28:15,2021-06-12 11:57:22,57,,,
174,1Fn4FSiHFr9SgbQ3ccsybN9f3RF1omst4x,"8,000 BTC ($392,355,387)",0.04%,2018-12-06 4:55:45,2021-06-12 11:57:22,57,,,
175,17J26KSDtNFPAUhCMwjcRNWhneMsXS75Ba,"8,000 BTC ($392,355,387)",0.04%,2018-12-05 22:46:54,2021-07-06 15:13:11,56,,,
176,12US3aeNibsxe7Lhascm4AmvGiTxwSdD4X,"8,000 BTC ($392,355,387)",0.04%,2018-12-06 2:15:23,2021-07-06 15:13:11,56,,,
177,17GyU83L63BtxtpDgv8LmhhtmvcrXbfVt1,"8,000 BTC ($392,355,387)",0.04%,2018-12-05 20:46:45,2021-07-06 15:13:11,56,,,
178,1FDzP5vQGMhCzeb9nH4AcUDnUbcHS22BMZ,"8,000 BTC ($392,355,387)",0.04%,2018-12-06 1:57:15,2021-07-06 15:13:11,56,,,
179,1Dr1pZDgpowHDGJrUNTithDL33TdriFMzE,"8,000 BTC ($392,355,386)",0.04%,2018-12-06 3:28:15,2021-07-06 15:13:11,55,,,
180,1N4yKFsFPjjoJyo3BAKUWpcs3SUghfgJkH,"8,000 BTC ($392,355,386)",0.04%,2018-12-05 22:46:54,2021-07-06 15:13:11,55,,,
181,1LRXrhZRLVTjGCPFphPsXZfeHesRigm59r,"8,000 BTC ($392,355,386)",0.04%,2018-12-06 3:28:15,2021-07-06 15:13:11,55,,,
182,15QFkJUWFZ6QRpTrzUitH2Egyf1JTngVgV,"8,000 BTC ($392,355,386)",0.04%,2018-12-05 23:45:47,2021-06-22 7:21:13,55,,,
183,1DdxS8CheskxKAPPbG8Uq4Qts8kS4x1tt2,"8,000 BTC ($392,355,386)",0.04%,2018-12-05 20:46:45,2021-07-06 15:13:11,55,,,
184,1NJdKoBkKQNg6aYL9HTKyQ5SgfjZQDz3y3,"8,000 BTC ($392,355,386)",0.04%,2018-12-06 5:09:08,2021-06-12 11:57:22,56,,,
185,12mJZGPCWf5C2ap2dUdJiuGr8eWAvi6E5M,"8,000 BTC ($392,355,386)",0.04%,2018-12-06 1:57:15,2021-06-22 7:21:13,56,,,
186,1GBWcQuY5aD6e2zrbdb38j7pizVr2wcJnC,"8,000 BTC ($392,355,386)",0.04%,2018-12-05 22:46:54,2021-06-22 7:21:13,55,,,
187,16H2Fe9MgxZ1jXW3TaXbgWh3SJfwyxQUTp,"8,000 BTC ($392,355,386)",0.04%,2018-12-06 4:22:52,2021-06-22 7:21:13,56,,,
188,1KoiNofDvcUrrVfxgqpRZixWXNXo6d2kfQ,"8,000 BTC ($392,355,386)",0.04%,2018-12-06 1:20:19,2021-06-22 7:21:13,56,,,
189,1FMbcnYvvccZ6hR324cFRpn1QX9TCkqtAe,"8,000 BTC ($392,355,386)",0.04%,2018-12-05 22:46:54,2021-06-22 7:21:13,57,,,
190,1NQWCZqRYvANz3iX1Wnczpm277VEYvcAee,"8,000 BTC ($392,355,386)",0.04%,2018-12-06 4:55:45,2021-06-22 7:21:13,55,,,
191,1T7m8nSs5Yh3YuLNoHPb5ehwN3LRVEchn,"8,000 BTC ($392,355,386)",0.04%,2018-12-05 20:46:45,2021-06-22 7:21:13,55,,,
192,1HG6NbWmJjjSE1Z6oPetWG3nnKrQxgBN3a,"8,000 BTC ($392,355,386)",0.04%,2018-12-05 23:45:47,2021-06-22 7:21:13,54,,,
193,1FrfmxAhYRNU9ebotDHP9FqLbe54QZVcfi,"8,000 BTC ($392,355,386)",0.04%,2018-12-06 5:28:17,2021-06-22 7:21:13,54,,,
194,1FtHBKrYkDchMA1pwRTpYZ77TpfwSgh6iF,"8,000 BTC ($392,355,386)",0.04%,2018-12-06 6:10:20,2021-05-30 15:52:54,54,,,
195,1JeTiSWo8pYWcNaTH4c3CfheAwVDYRoy1Q,"8,000 BTC ($392,355,386)",0.04%,2018-12-06 6:10:20,2021-05-30 15:52:54,68,,,
196,17wADqWPK8wZfpRmPkauviq2VDBmhm82rM,"8,000 BTC ($392,355,386)",0.04%,2020-03-14 9:51:28,2021-05-30 15:52:54,61,,,
197,1AfHER73jneZAEAHNiz5dBKnrzeWcMJM5i,"8,000 BTC ($392,355,385)",0.04%,2020-06-12 20:15:32,2021-05-30 15:52:54,53,,,
198,1NJdqNoC7uPh7MqQhyEynRn9htstEELZDn,"8,000 BTC ($392,355,385)",0.04%,2020-05-06 22:51:08,2021-05-30 15:52:54,64,,,
199,1EUgoa25tkqMUYh7PXzDfqqNP5PtHKZmct,"8,000 BTC ($392,355,385)",0.04%,2020-03-13 22:31:57,2021-05-30 15:52:54,55,,,
200,1LuEe5Xkf1eA493SvsKwjPTS9RkW9JV9N2,"8,000 BTC ($392,355,385)",0.04%,2020-08-07 21:18:04,2021-05-30 15:52:54,62,,,
201,1Ja7G9JJRw8w8WWnMzw7PwYehhiZmhESkC,"8,000 BTC ($392,355,385)",0.04%,2020-07-08 19:13:45,2021-05-30 15:52:54,65,,,
202,15TbabdR3FKJMpRxDeEetezWKGJwdGXbTY,"8,000 BTC ($392,355,385)",0.04%,2020-04-22 21:06:24,2021-05-30 15:52:54,67,,,
203,1PnsNtAqmHQKxyqKS843J9aegdJsXr5rpD,"8,000 BTC ($392,355,385)",0.04%,2020-08-21 15:37:15,2021-05-30 15:52:54,58,,,
204,1CptxmzfRyU2rF3VJ6q8wa2tkh3cm82p9P,"8,000 BTC ($392,355,385)",0.04%,2020-09-13 17:16:57,2021-05-30 15:52:54,59,,,
205,1AXskHt4ZwVZLonZV8BMDxh4V65ec41KMJ,"8,000 BTC ($392,355,384)",0.04%,2020-10-28 18:27:42,2021-05-30 15:52:54,60,,,
206,1JnfbQerGjFHVq28945y1bhoUHpn6vKM9v,"8,000 BTC ($392,355,384)",0.04%,2020-09-14 23:19:34,2021-05-30 15:52:54,61,,,
207,3HLxZqoEHdGPV9oFZQxVfG41z1uP1LrNaJ,"8,000 BTC ($392,355,375)",0.04%,2021-07-27 17:05:37,2021-09-09 23:28:47,2,,,
208,32okkzumvdoocdjN18SzbnTTNd2omQvvt3,"8,000 BTC ($392,355,375)",0.04%,2021-07-27 17:05:37,2021-09-09 23:28:47,2,,,
209,36WQ2FEUnTmt67xXNZgQMSFQZjK6AJxLCZ,"8,000 BTC ($392,355,375)",0.04%,2021-07-27 17:05:37,2021-09-09 23:28:47,2,,,
210,3KUrPEGy9VFeQHZYJSGZpE78X5zf1n48pP,"8,000 BTC ($392,350,459)",0.04%,2021-07-27 16:53:09,2021-09-09 23:28:47,2,,,
211,1BcAtWddaU1jHWgQvM7dpM5SefoVgUHEuC,"7,998 BTC ($392,232,861)",0.04%,2020-03-13 11:28:08,2021-05-30 15:52:54,58,,,
212,1GcPTDtNXuPghJU5qSGvkPQ99nhWrbQaYR,"7,960 BTC ($390,410,955)",0.04%,2020-09-04 5:45:03,2021-05-30 15:52:54,61,,,
213,14ACC7ftHQS6guKJi3FCTEyCw94dHnRZjJ,"7,954 BTC ($390,097,616)",0.04%,2020-02-24 16:58:27,2021-05-30 15:52:54,59,,,
214,1CsAkAsjTTRAuRw39fRQj7pxKn3fjEuYsT,"7,951 BTC ($389,939,601)",0.04%,2020-03-16 1:02:56,2021-06-12 11:57:22,67,,,
215,"15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX
wallet: 559","7,941 BTC ($389,464,913)",0.04%,2010-04-10 18:02:35,2021-08-01 21:14:31,107,2010-04-10 20:15:16,2010-10-15 8:22:58,60
216,13TM7PLtf1Ujo9t9pk9RSyrv1ts119PNK5,"7,940 BTC ($389,419,960)",0.04%,2020-03-13 5:05:23,2021-05-30 15:52:54,59,,,
217,1GBzbXJmcMjnDyTW2yKJFfeXUGicG1zpC4,"7,930 BTC ($388,917,072)",0.04%,2020-04-28 11:26:08,2021-05-30 15:52:54,64,,,
218,"14HeA1YRUiJGb95HVpVTBuavMUBYGk6y7R
wallet: 74882424","7,921 BTC ($388,500,505)",0.04%,2021-02-09 2:43:17,2021-12-27 14:01:24,183,2021-03-26 16:40:21,2021-12-13 13:37:41,156
219,19yLTkx4jggSnjdiGkkhNwTjZUyY5T8kEA,"7,894 BTC ($387,167,363)",0.04%,2020-04-30 9:31:27,2021-05-30 15:52:54,62,,,
220,"34ovCavdkQgEYbrJk9Q1onhK7uWqq6J7DC
wallet: 45505834","7,876 BTC ($386,282,707)",0.04%,2018-11-27 3:42:08,2021-10-23 0:28:29,109,2018-11-29 0:30:31,2020-07-14 2:20:25,15
221,1GaSQcWg3R98qf5sTWetwjjMh6ehxj25Gp,"7,866 BTC ($385,797,949)",0.04%,2020-06-03 13:59:14,2021-05-30 15:52:54,60,,,
222,13AiVabLoTcYTdaFcFYtpFFmCFagjiUwE2,"7,866 BTC ($385,791,720)",0.04%,2020-08-06 22:06:24,2021-05-30 15:52:54,60,,,
223,12T7nyMrAnd13UAMYCCJZ8Fw7PpMGPRFsi,"7,862 BTC ($385,586,933)",0.04%,2020-05-11 16:46:13,2021-05-30 15:52:54,65,,,
224,1LjUYdf8mQk9DsrVvuPYeHyJKQq5V1MLsT,"7,820 BTC ($383,509,473)",0.04%,2020-03-20 16:00:46,2021-05-30 15:52:54,68,,,
225,1MH8s3qc4F2GZNod1R43qeysSB2ssZCXb,"7,812 BTC ($383,120,839)",0.04%,2020-08-10 13:44:27,2021-05-30 15:52:54,60,,,
226,1KHw7yzqoWto1DCGqn7QihoLmzbYWCqNcR,"7,809 BTC ($383,000,700)",0.04%,2019-07-19 1:08:01,2021-09-09 23:28:47,22,,,
227,1MxQ3uxZRqnh2wWsG8k743x1HLvPqnQvgt,"7,729 BTC ($379,074,360)",0.04%,2021-11-25 15:24:43,2021-11-25 15:24:43,1,,,
228,3HCdgNiAsjidcGx4eeMK9AXvXBfrnteunW,"7,700 BTC ($377,641,996)",0.04%,2017-12-12 16:27:40,2021-09-09 23:28:47,27,,,
229,"bc1q0uelajkrvamkwa3k4gj3hfmmfznhxxlntazqlc
wallet: 79562526","7,555 BTC ($370,532,273)",0.04%,2021-03-01 21:30:04,2021-12-02 19:50:59,36,2021-09-15 0:14:21,2021-09-15 0:14:21,2
230,"33eU1zeB2S4x3p4ccSsnAChXcGJgtMrMtZ
wallet: 82375777","7,547 BTC ($370,116,641)",0.04%,2019-10-07 9:22:01,2021-12-19 19:02:18,22,2021-12-19 17:57:45,2021-12-19 17:57:45,1
231,bc1qk2q9ptkvfrtt3769hh85zvq88jyrulk6zgys2h,"7,500 BTC ($367,842,900)",0.04%,2021-07-27 15:47:45,2021-09-09 23:28:47,6,,,
232,bc1qms2la25qtgh69e7v8eddhsz3gwlfzucwh6v0zvwk8ku36r3mczxq4zlfd5,"7,351 BTC ($360,501,395) / +7351 BTC",0.04%,2021-11-27 18:59:51,2021-11-27 18:59:51,1,,,
233,1JfXLzQvYPZHNzX4vhH6aoetGDfcPD1YEX,"7,300 BTC ($358,024,435)",0.04%,2018-03-05 0:15:39,2021-09-09 23:28:47,24,,,
234,bc1qw0pswznckx7s6tjmd2f5hrx4q6kc5nyrdxku50,"7,107 BTC ($348,553,792)",0.04%,2021-07-25 16:18:37,2021-12-28 5:44:46,147,,,
235,13UjWvGW9HBuUTAvd1P1WgFEekso4SAgvQ,"7,095 BTC ($347,957,279) +7095 BTC / +7095 BTC",0.04%,2021-12-28 1:09:19,2021-12-28 1:26:22,3,,,
236,1B4U28Yc1JmSQbpzzSfavEskTPMvBRphyD,"7,082 BTC ($347,312,581)",0.04%,2020-11-02 23:43:16,2021-05-30 15:52:54,54,,,
237,19VTgHTWhM8xi32mDuCLR3kAgamRMahTu5,"7,080 BTC ($347,243,349)",0.04%,2020-11-21 10:07:43,2021-08-11 20:15:01,29,2020-11-23 15:43:44,2021-07-23 10:47:45,27
238,13eEt6myAo1zAC7o7RK5sVxxCNCAgd6ApH,"7,000 BTC ($343,317,691)",0.04%,2017-10-17 13:45:49,2021-09-09 23:28:47,22,,,
239,1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,"7,000 BTC ($343,311,157)",0.04%,2011-05-27 18:03:02,2021-07-27 10:37:36,42,,,
240,15YMdTNT83UJqfpaZfDccy9yBYQFxHxVFt,"7,000 BTC ($343,310,966)",0.04%,2018-04-20 21:26:04,2021-09-09 23:28:47,24,,,
241,324rP14bzX8kW1JWt1J8ohZjDFyt2G68Kq,"7,000 BTC ($343,310,265)",0.04%,2019-02-16 17:13:01,2021-09-09 23:28:47,24,,,
242,1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF,"6,999 BTC ($343,262,015)",0.04%,2010-11-08 17:32:00,2021-05-30 15:52:54,32,,,
243,38C7LhtsbanuGUxeXguEvm2Gm2pSN2K175,"6,990 BTC ($342,820,997) +6990 BTC / +6990 BTC",0.04%,2021-12-22 15:43:15,2021-12-22 15:43:15,1,,,
244,1Ac6fUJ2Uw4cdXu3YFjCsSqnQGRb7KW1Ec,"6,989 BTC ($342,771,081)",0.04%,2021-10-12 15:58:10,2021-10-12 15:58:10,1,,,
245,bc1qv9ukpugdg86zstx8gzckcqtzjs6quypr3ksm4t,"6,980 BTC ($342,343,000)",0.04%,2021-03-11 15:37:20,2021-12-17 19:38:05,9,2021-04-01 9:51:51,2021-12-17 19:38:05,6
246,186XqVoL7TGxR3osoo4xn32wbYtb527raY,"6,977 BTC ($342,169,248)",0.04%,2021-05-07 6:33:06,2021-09-09 23:28:47,3,,,
247,bc1qzxwdcxqj36ane625hkgjpg6p0pjg79u29qyrus,"6,901 BTC ($338,455,562)",0.04%,2021-07-25 16:30:01,2021-09-09 23:28:47,26,,,
248,"31k2z8HocUWMCMXBkXREPiXNgK2fB3iLwo 2-of-3
wallet: 53307598","6,900 BTC ($338,430,637)",0.04%,2019-08-06 22:24:19,2021-12-18 8:46:10,44,2019-08-07 9:12:40,2021-05-11 12:07:32,18
249,1Ac2JdpQ5c9NeSajdGx6dofxeXkn4S35ft,"6,878 BTC ($337,313,852)",0.04%,2017-07-29 5:55:33,2021-09-09 23:28:47,27,,,
250,"35h49kvohPx5Pmtpt26P8o3KuSczsFLo23
wallet: 61655707","6,839 BTC ($335,395,667)",0.04%,2021-04-29 11:47:57,2021-12-28 4:47:44,2674,2021-04-29 14:41:27,2021-12-28 6:16:22,2085
251,39ARNYJHoNoVJw5f9fBgn7qcec4r91gsQ8,"6,700 BTC ($328,596,547)",0.04%,2020-11-26 11:11:28,2021-09-09 23:28:47,10,,,
252,1LVBnipcnkwqHKaXcHeV9gcbPMvByaJkqk,"6,522 BTC ($319,887,757)",0.03%,2017-07-31 18:56:01,2021-09-09 23:28:47,20,,,
253,1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6,"6,512 BTC ($319,375,399)",0.03%,2011-04-24 2:40:50,2021-11-09 14:40:33,28,,,
254,1NpZcfBnaJeoRT9ZqwZVRMw3SRs546VsuE,"6,507 BTC ($319,143,501)",0.03%,2014-04-14 20:50:10,2021-12-03 12:53:57,192,2014-04-14 20:50:10,2020-12-04 0:18:39,74
255,3C6RQUbZ2P3izhw6LDD7gcXhYCp6PjFehb,"6,500 BTC ($318,788,751)",0.03%,2021-10-19 2:48:17,2021-10-20 2:07:09,2,,,
256,356Zz26iW3tYd1xWJjVGa8CPbjC9W5EW9f 2-of-5,"6,500 BTC ($318,767,264)",0.03%,2018-10-31 23:16:32,2021-07-22 21:33:44,18,2020-08-21 22:06:31,2021-07-22 21:33:44,3
257,bc1q8usjtaxjazfulcf25lxptktlazk3hwykm08xtv,"6,473 BTC ($317,452,476)",0.03%,2021-07-31 14:26:02,2021-09-09 23:28:47,2,,,
258,19pnUzv5KHALEu3DRpyHogT6N3BeHbqJrS,"6,449 BTC ($316,272,975)",0.03%,2019-05-17 4:32:08,2021-12-24 16:28:25,96,2019-05-18 5:03:59,2021-12-24 16:28:25,95
259,"bc1qyd2k46lzcrt3cd3z0nrt9d99z6xnzvyn2r83a5z9xfg8adpyp0ss53fnz4
wallet: 74771965","6,405 BTC ($314,129,470)",0.03%,2021-02-04 15:17:46,2021-06-04 8:38:37,9,2021-03-25 22:28:25,2021-03-25 22:28:25,1
260,bc1qqgqm9483vcnxehygx99hmh42mzrat4v692w5tfuzfgr07def6d3stlrz06,"6,398 BTC ($313,802,763)",0.03%,2021-09-15 4:40:07,2021-12-24 14:19:58,399,2021-09-15 6:12:03,2021-11-12 9:57:59,349
261,1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb,"6,316 BTC ($309,759,943)",0.03%,2013-04-25 2:47:34,2021-09-09 23:28:47,29,,,
262,1FZcb6BU1ZbHQJcby7vDF2Na1z9UmkGSSG,"6,304 BTC ($309,166,750)",0.03%,2020-12-18 18:43:19,2021-12-22 2:48:09,119,,,
263,1JFUG5K3HidvfJD4R7nKyDJikmFpPcBB2,"6,304 BTC ($309,166,750)",0.03%,2020-12-18 7:24:18,2021-12-22 2:48:09,126,,,
264,1M14kQL3zfyEAHx6JCM3gsZyAxyiSDMWdp,"6,303 BTC ($309,120,409)",0.03%,2020-12-17 5:25:55,2021-12-06 16:57:34,119,,,
265,1JECFWTZsRw65y65DEVR2djXv2KMYfuo7A,"6,303 BTC ($309,120,409)",0.03%,2020-12-12 12:35:00,2021-12-06 16:47:28,81,,,
266,1K8QG4fuswaWFZ2fmmuxVKaWibi9H95iGw,"6,303 BTC ($309,120,409)",0.03%,2020-11-30 18:53:04,2021-12-06 16:47:28,76,,,
267,1361wC48gW19mKAJmAkdXScLZKYdXgViS9,"6,303 BTC ($309,120,409)",0.03%,2020-12-16 17:48:42,2021-12-06 16:57:34,125,,,
268,1JKDzFHcb6KBybKSquvMw1FrxXhvBdMiB5,"6,303 BTC ($309,120,409)",0.03%,2020-12-04 21:50:37,2021-12-06 16:47:28,78,,,
269,14vbdGfYS7UKMvc4334UZDvTMPFA2G7zCB,"6,303 BTC ($309,120,409)",0.03%,2020-11-26 22:50:44,2021-12-06 16:47:28,65,,,
270,19RtRzXV5px91eMbWZFCWLZRUeQX5XxxnJ,"6,303 BTC ($309,120,409)",0.03%,2020-12-17 17:10:28,2021-12-06 16:57:34,124,,,
271,1Mt6STNGoHGuDziUSCagqTGNGrbDFSBxRn,"6,303 BTC ($309,120,409)",0.03%,2020-12-15 19:44:52,2021-12-06 16:47:28,126,,,
272,1DwSAnZw4Gk9FotgWZhRb3Nzqi4PLdU8M,"6,303 BTC ($309,120,409)",0.03%,2020-12-01 19:17:01,2021-12-06 16:47:28,81,,,
273,1C1sUtw6fYa1Yr5wexrH2ayT1ZykD9Sobx,"6,298 BTC ($308,881,830)",0.03%,2020-12-19 18:11:23,2021-12-22 3:40:13,116,,,
274,"19msUPsm7cHG8pGTavUr2AeZJsoRTNju1P
wallet: 42460039","6,226 BTC ($305,335,684)",0.03%,2018-09-05 7:10:02,2021-12-28 8:26:28,7039,2018-09-05 10:22:01,2021-12-02 6:12:05,6836
275,1LBBmkr9muf7RjjBbzQQvzNQpRRaVEnavs,"6,200 BTC ($304,075,507)",0.03%,2013-12-07 4:23:51,2021-09-09 23:28:47,30,,,
276,1LMUQBJXJP3zHSwd1GVUK1C8d734ru2Ev7,"6,187 BTC ($303,437,815) / +6187 BTC",0.03%,2021-12-06 23:39:51,2021-12-13 22:37:12,5,,,
277,1ChKtLkwqN4CXLDLF46cBYGiZsiteDioCQ,"6,160 BTC ($302,123,648) / +6160 BTC",0.03%,2021-11-27 2:44:06,2021-11-27 3:13:23,3,,,
