number,address,balance,perct_coins,first_in,last_in,ins,first_out,last_out,outs
28,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,"28,151 BTC ($1,380,652,414)",0.15%,2010-04-06 0:47:07,2021-12-09 17:04:44,135,,,
29,3JJpCZCk4h4TpQeU7SA1yhH768Xgbtdbfg,"26,606 BTC ($1,304,851,440) +250 BTC / +2750 BTC",0.14%,2021-09-29 18:14:59,2021-12-27 19:19:13,21,2021-10-07 0:42:42,2021-12-15 22:31:55,2
30,"1ftuUgzrr5hnVzXnFBDjELvVe69rPtBRi
wallet: OKEX-coldwallet","25,350 BTC ($1,243,276,118) +1331 BTC / +14430 BTC",0.13%,2018-07-26 8:40:56,2021-12-27 11:17:16,593,2018-07-26 10:04:25,2021-11-22 7:13:58,510
31,"bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg
wallet: 62621121","24,976 BTC ($1,224,942,447) -131.02 BTC / +21360 BTC",0.13%,2020-08-20 19:27:46,2021-12-27 22:48:38,3526,2020-08-20 22:22:23,2021-12-27 15:40:53,3518
32,17MWdxfjPYP2PYhdy885QtihfbW181r1rn,"24,495 BTC ($1,201,360,322)",0.13%,2020-12-13 13:50:54,2021-05-14 8:28:21,12,,,
33,"35ULMyVnFoYaPaMxwHTRmaGdABpAThM4QR
wallet: 67449162","24,305 BTC ($1,192,024,753)",0.13%,2020-07-13 23:07:13,2021-11-22 4:29:38,109,2020-08-20 22:45:17,2021-09-13 23:34:55,79
34,19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,"23,969 BTC ($1,175,545,845)",0.13%,2020-12-13 12:33:04,2021-05-14 8:28:21,14,,,
35,"3JZq4atUahhuA9rLhXLMhhTo133J9rF97j
wallet: Bitfinex-coldwallet","23,796 BTC ($1,167,048,987) -5832 BTC / +2374 BTC",0.13%,2018-11-02 21:14:44,2021-12-27 19:19:13,3293,2018-11-04 17:08:55,2021-12-22 23:24:09,3283
36,"1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2
wallet: 30100391","23,631 BTC ($1,158,945,094) -500 BTC /",0.12%,2016-08-04 12:29:39,2021-12-23 14:50:47,215,2016-11-18 15:58:35,2021-12-23 14:50:47,214
37,1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT,"22,900 BTC ($1,123,116,812)",0.12%,2020-03-17 14:28:00,2021-06-13 22:07:16,29,,,
38,bc1qjysjfd9t9aspttpjqzv68k0ydpe7pvyd5vlyn37868473lell5tqkz456m,"22,498 BTC ($1,103,424,642) +6121 BTC / +20468 BTC",0.12%,2021-11-14 14:38:03,2021-12-27 6:59:01,10,,,
39,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,"22,400 BTC ($1,098,595,079)",0.12%,2018-09-28 16:43:50,2021-11-17 8:50:32,77,2020-03-17 14:28:00,2020-03-17 14:28:00,53
40,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,"22,000 BTC ($1,078,977,306) +7200 BTC / +14000 BTC",0.12%,2021-10-11 14:39:15,2021-12-23 18:05:06,8,,,
41,"19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6
wallet: 62084963","21,917 BTC ($1,074,929,265) +362.4 BTC / -983.22 BTC",0.12%,2020-05-13 7:11:37,2021-12-28 8:36:08,48215,2020-05-13 7:22:17,2021-12-28 8:36:08,48171
42,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,"21,862 BTC ($1,072,193,942) -25696 BTC / -6270 BTC",0.12%,2021-10-08 9:14:44,2021-12-28 8:38:47,36850,2021-10-12 9:03:37,2021-12-28 8:38:47,26399
43,"3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh
wallet: OKEX-coldwallet","20,406 BTC ($1,000,813,446) / -26.89 BTC",0.11%,2019-01-22 18:38:08,2021-12-16 23:54:31,187,2019-01-24 21:11:53,2021-12-16 23:54:31,115
44,"3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1
wallet: OKEX-coldwallet","20,213 BTC ($991,323,695) -1.92 BTC / -1795 BTC",0.11%,2021-04-01 0:50:28,2021-12-25 17:52:45,116,2021-05-13 23:28:09,2021-12-24 23:14:42,106
45,"bc1qtw30nantkrh7y5ue73gm4mmy0zezfqxug3psr94sd967qwg7f76scfmr9p
wallet: 74625152","20,136 BTC ($987,570,041)",0.11%,2021-03-21 18:12:51,2021-03-21 20:32:52,165,2021-03-21 18:12:51,2021-03-21 19:47:47,40
46,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,"20,008 BTC ($981,280,905)",0.11%,2017-03-28 15:59:19,2021-05-28 4:01:46,62,2017-03-28 16:04:55,2017-03-28 16:04:55,1
47,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,"19,414 BTC ($952,169,547)",0.10%,2010-07-24 14:16:11,2021-09-06 4:19:03,96,,,
48,3K5dmrkBMS8ZVgERMLwiw7PJuG8GWTbo8e,"18,600 BTC ($912,228,546)",0.10%,2021-11-03 1:40:46,2021-11-03 1:40:46,1,,,
49,"bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0s8qa
wallet: 74771965","17,930 BTC ($879,365,710) +4285 BTC / -470 BTC",0.09%,2021-01-12 10:55:02,2021-12-23 16:57:17,105,2021-03-25 22:28:25,2021-12-20 18:41:40,101
50,1AjPJ1eq4VMt3NxBZwAD5BvpajxoGUJ89n,"17,254 BTC ($846,198,381) +78 BTC / +933 BTC",0.09%,2021-11-03 21:01:17,2021-12-27 16:50:35,27,,,
51,"3H5JTt42K7RmZtromfTSefcMEFMMe18pMD
wallet: Poloniex-coldwallet","16,786 BTC ($823,257,131)",0.09%,2018-12-23 1:50:38,2021-11-16 11:53:45,68,2019-01-28 19:14:31,2021-09-15 20:29:14,15
52,3QM1VzweZrAwdw8ECW3Rxf2QfxDsX9wm3o,"16,577 BTC ($813,009,392) / +16577 BTC",0.09%,2021-12-08 1:26:06,2021-12-08 1:26:06,1,,,
53,34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP,"16,307 BTC ($799,745,161)",0.09%,2021-10-22 22:49:49,2021-10-22 22:49:49,1,,,
54,"bc1q4c8n5t00jmj8temxdgcc3t32nkg2wjwz24lywv
wallet: 71981558","16,058 BTC ($787,541,183) +2283 BTC / +6009 BTC",0.08%,2021-01-11 12:59:50,2021-12-28 8:36:08,17173,2021-01-11 13:53:16,2021-12-22 2:01:23,15721
55,1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,"15,746 BTC ($772,231,704)",0.08%,2018-01-22 18:05:59,2021-12-03 12:53:57,65,2018-01-22 23:14:04,2018-01-22 23:14:04,1
56,"3PmmBXakGBppQZBDY3srFyKMUxcvgG5RX9
wallet: 82616484","15,047 BTC ($737,977,941) +15047 BTC / +15047 BTC",0.08%,2021-12-27 19:18:35,2021-12-27 23:21:54,3,2021-12-28 5:39:34,2021-12-28 5:39:34,2
57,1KUr81aewyTFUfnq4ZrpePZqXixd59ToNn,"15,000 BTC ($735,666,276)",0.08%,2019-07-19 23:30:09,2021-06-04 17:23:08,31,,,
58,39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,"14,781 BTC ($724,941,270) +29.99 BTC / -619.99 BTC",0.08%,2021-02-24 14:55:08,2021-12-27 20:43:41,161,2021-06-29 14:40:38,2021-12-27 20:43:41,61
59,"3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ 3-of-4
wallet: BITMEX-coldwallet","14,770 BTC ($724,392,284)",0.08%,2017-07-18 5:32:04,2021-05-14 15:12:31,119,2017-07-28 6:11:19,2021-05-14 15:12:31,118
60,3BMEXxSMT2b2kvsnC4Q35d2kKJZ4u9bSLh 3-of-4,"14,642 BTC ($718,109,758) / -82.95 BTC",0.08%,2019-07-17 16:13:26,2021-12-02 14:11:39,161,2019-07-20 15:29:00,2021-12-02 14:11:39,160
61,3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9 4-of-8,"14,510 BTC ($711,648,837) / +311 BTC",0.08%,2019-02-01 16:46:33,2021-12-08 17:55:14,43,2020-08-15 18:55:25,2021-05-20 19:24:47,25
62,"39WQqCosC8ZD4S9XBPHRnnRUeVRvNctnnm
wallet: 77570483","14,166 BTC ($694,740,739) / +815 BTC",0.07%,2021-02-13 0:11:23,2021-12-04 0:30:30,64,2021-07-02 22:07:06,2021-07-27 17:05:37,27
63,1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj,"14,000 BTC ($686,621,953)",0.07%,2018-01-17 5:20:58,2021-10-10 23:34:45,51,,,
64,bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa,"13,003 BTC ($637,725,643)",0.07%,2021-07-27 15:39:28,2021-10-14 11:31:03,8,,,
65,"3ETUmNhL2JuCFFVNSpk8Bqx2eorxyP9FVh
wallet: OKEX-coldwallet","12,826 BTC ($629,039,293) / -34.87 BTC",0.07%,2020-04-08 23:23:42,2021-12-07 23:54:55,187,2020-05-02 2:39:57,2021-12-07 23:54:55,155
66,"bc1q080rkmk3kj86pxvf5nkxecdrw6nrx3zzy9xl7q
wallet: 68700104","12,405 BTC ($608,402,146) +262 BTC / +2885 BTC",0.07%,2020-10-20 13:06:25,2021-12-27 13:56:13,158,2020-10-21 6:38:22,2021-12-11 15:21:19,57
67,bc1qujmfpqzgz208d0uycpjyx8uad2ddjuqut70ttpz35gs2n6gflguqajk8d3,"12,006 BTC ($588,846,137)",0.06%,2021-10-22 17:20:19,2021-10-25 19:42:17,6,,,
68,3GWUKxq55XsQ7rkzbxAgfSyf6KHp8Ljh3R 2-of-3,"12,000 BTC ($588,533,120)",0.06%,2021-04-27 5:19:57,2021-11-08 13:36:17,24,2021-04-27 11:11:48,2021-11-08 13:36:17,5
